pageid,title,timestamp,days_since_upload,uploader,file_url,filesize,mime,categories,exif
84789465,File:HISTORY STUDY 5.jpg,2019-12-10T16:36:43Z,2000,Mwoolliams,https://upload.wikimedia.org/wikipedia/commons/e/e7/HISTORY_STUDY_5.jpg,18737922,image/jpeg,"[""Category:Ancient Greek architecture"", ""Category:Ancient Roman architecture"", ""Category:CC-BY-SA-4.0"", ""Category:Drawings, models and plans by Doug Clelland"", ""Category:Items with VRTS permission confirmed"", ""Category:Self-published work""]","{""XResolution"": ""72/1"", ""YResolution"": ""72/1"", ""Software"": ""Photos 4.0"", ""DateTime"": ""2009:09:19 13:08:00"", ""DateTimeOriginal"": ""2009:09:19 13:08:00"", ""DateTimeDigitized"": ""2009:09:19 13:08:00"", ""ColorSpace"": 1, ""iimVersion"": 2, ""MEDIAWIKI_EXIF_VERSION"": 1}"
98936589,File:In antis.GIF,2007-12-03T17:39:22Z,6390,Satak Lord,https://upload.wikimedia.org/wikipedia/commons/0/07/In_antis.GIF,2075,image/gif,"[""Category:Ancient Greek architecture"", ""Category:PD-self"", ""Category:Self-published work""]","{""frameCount"": 1, ""metadata"": [{""name"": ""_MW_GIF_VERSION"", ""value"": 1}]}"
1208646,File:Lerna1.JPG,2007-08-04T13:18:59Z,6511,Ulrichstill,https://upload.wikimedia.org/wikipedia/commons/c/c4/Lerna1.JPG,1700227,image/jpeg,"[""Category:2006 in Argos-Mykines"", ""Category:Ancient Greek architecture"", ""Category:April 2006 Greece photographs"", ""Category:Archaeological site of Lerna"", ""Category:CC-BY-SA-2.5""]","{""Make"": ""NIKON CORPORATION"", ""Model"": ""NIKON D70"", ""Orientation"": 1, ""XResolution"": ""3000000/10000"", ""YResolution"": ""3000000/10000"", ""ResolutionUnit"": 2, ""Software"": ""Adobe Photoshop CS2 Windows"", ""DateTime"": ""2007:08:04 15:13:46"", ""YCbCrPositioning"": 2, ""ExposureTime"": ""10/500"", ""FNumber"": ""45/10"", ""ExposureProgram"": 2, ""ISOSpeedRatings"": 200, ""ExifVersion"": ""0221"", ""DateTimeOriginal"": ""2006:04:18 11:21:39"", ""DateTimeDigitized"": ""2006:04:18 11:21:39"", ""CompressedBitsPerPixel"": ""2/1"", ""ExposureBiasValue"": ""2/6"", ""MaxApertureValue"": ""43/10"", ""MeteringMode"": 5, ""FocalLength"": ""460/10"", ""SubSecTime"": ""70"", ""SubSecTimeOriginal"": ""70"", ""SubSecTimeDigitized"": ""70"", ""ColorSpace"": 1, ""SensingMethod"": 2, ""DigitalZoomRatio"": ""1/1"", ""FocalLengthIn35mmFilm"": 69, ""MEDIAWIKI_EXIF_VERSION"": 1}"
164619747,File:MESBE-1-2-169-Greek-art-1.png,2025-05-03T16:35:41Z,29,Monedula,https://upload.wikimedia.org/wikipedia/commons/1/14/MESBE-1-2-169-Greek-art-1.png,623588,image/png,"[""Category:Ancient Greek architecture"", ""Category:Extracted images"", ""Category:PD-Russia-expired"", ""Category:PD-US missing SDC copyright status"", ""Category:PD US expired"", ""Category:Small Brockhaus and Efron Encyclopedic Dictionary"", ""Category:Template Unknown (author)""]","{""loopCount"": 1, ""bitDepth"": 8, ""colorType"": ""index-coloured"", ""metadata"": [{""name"": ""XResolution"", ""value"": ""2835/100""}, {""name"": ""YResolution"", ""value"": ""2835/100""}, {""name"": ""ResolutionUnit"", ""value"": 3}, {""name"": ""DateTime"", ""value"": ""2025:05:03 15:43:36""}, {""name"": ""_MW_PNG_VERSION"", ""value"": 1}]}"
4899902,File:Nurota UZB.JPG,2008-10-01T07:39:17Z,6087,Man77,https://upload.wikimedia.org/wikipedia/commons/9/99/Nurota_UZB.JPG,1665722,image/jpeg,"[""Category:Ancient Greek architecture"", ""Category:CC-BY-SA-3.0"", ""Category:Files with coordinates missing SDC location of creation"", ""Category:Images by Man77"", ""Category:Nurota Alexander the Great fortress"", ""Category:Self-published work""]","{""ImageDescription"": ""OLYMPUS DIGITAL CAMERA         "", ""Make"": ""OLYMPUS IMAGING CORP.  "", ""Model"": ""uD800,S800      "", ""Orientation"": 1, ""XResolution"": ""314/1"", ""YResolution"": ""314/1"", ""ResolutionUnit"": 2, ""Software"": ""Version 1.1                    "", ""DateTime"": ""2008:09:14 11:23:23"", ""YCbCrPositioning"": 2, ""ExposureTime"": ""1/1000"", ""FNumber"": ""56/10"", ""ExposureProgram"": 2, ""ISOSpeedRatings"": 64, ""ExifVersion"": ""0221"", ""DateTimeOriginal"": ""2008:09:14 11:23:23"", ""DateTimeDigitized"": ""2008:09:14 11:23:23"", ""ComponentsConfiguration"": ""\n#1\n#2\n#3\n#0"", ""ExposureBiasValue"": ""-10/10"", ""MaxApertureValue"": ""297/100"", ""MeteringMode"": 3, ""LightSource"": 9, ""Flash"": 16, ""FocalLength"": ""800/100"", ""FlashPixVersion"": ""0100"", ""ColorSpace"": 1, ""FileSource"": 3, ""ExposureMode"": 1, ""WhiteBalance"": 1, ""DigitalZoomRatio"": ""100/100"", ""MEDIAWIKI_EXIF_VERSION"": 1}"
42410124,File:Ostaci antičke Isse.JPG,2015-08-16T20:18:40Z,3577,August Dominus,https://upload.wikimedia.org/wikipedia/commons/8/8d/Ostaci_anti%C4%8Dke_Isse.JPG,567409,image/jpeg,"[""Category:Ancient Greek architecture"", ""Category:CC-BY-SA-4.0"", ""Category:Issa (Vis)"", ""Category:Self-published work""]","{""Make"": ""SAMSUNG"", ""Model"": ""ES90/ ES91"", ""Orientation"": 1, ""XResolution"": ""288/3"", ""YResolution"": ""288/3"", ""ResolutionUnit"": 2, ""Software"": ""  0.4100"", ""DateTime"": ""2015:08:05 15:04:10"", ""YCbCrPositioning"": 2, ""Copyright"": ""Copyright 2011"", ""ExposureTime"": ""1/1000"", ""FNumber"": ""35/10"", ""ExposureProgram"": 2, ""ISOSpeedRatings"": 80, ""ExifVersion"": ""0221"", ""DateTimeOriginal"": ""2015:08:05 15:04:10"", ""DateTimeDigitized"": ""2015:08:05 15:04:10"", ""ComponentsConfiguration"": ""\n#1\n#2\n#3\n#0"", ""CompressedBitsPerPixel"": ""3191016/786432"", ""ShutterSpeedValue"": ""9966/1000"", ""ApertureValue"": ""3615/1000"", ""ExposureBiasValue"": ""25/100"", ""MaxApertureValue"": ""3615/1000"", ""MeteringMode"": 4, ""FocalLength"": ""4900/1000"", ""FlashPixVersion"": ""0100"", ""ColorSpace"": 1, ""SensingMethod"": 2, ""FileSource"": 3, ""SceneType"": 1, ""DigitalZoomRatio"": ""100/100"", ""FocalLengthIn35mmFilm"": 27, ""MEDIAWIKI_EXIF_VERSION"": 1}"
42410055,File:Ostaci drevne Isse.JPG,2015-08-16T20:17:06Z,3577,August Dominus,https://upload.wikimedia.org/wikipedia/commons/0/0d/Ostaci_drevne_Isse.JPG,578924,image/jpeg,"[""Category:Ancient Greek architecture"", ""Category:CC-BY-SA-4.0"", ""Category:Issa (Vis)"", ""Category:Self-published work""]","{""Make"": ""SAMSUNG"", ""Model"": ""ES90/ ES91"", ""Orientation"": 1, ""XResolution"": ""288/3"", ""YResolution"": ""288/3"", ""ResolutionUnit"": 2, ""Software"": ""  0.4100"", ""DateTime"": ""2015:08:05 15:04:00"", ""YCbCrPositioning"": 2, ""Copyright"": ""Copyright 2011"", ""ExposureTime"": ""1/197"", ""FNumber"": ""90/10"", ""ExposureProgram"": 2, ""ISOSpeedRatings"": 80, ""ExifVersion"": ""0221"", ""DateTimeOriginal"": ""2015:08:05 15:04:00"", ""DateTimeDigitized"": ""2015:08:05 15:04:00"", ""ComponentsConfiguration"": ""\n#1\n#2\n#3\n#0"", ""CompressedBitsPerPixel"": ""3243896/786432"", ""ShutterSpeedValue"": ""7644/1000"", ""ApertureValue"": ""6340/1000"", ""ExposureBiasValue"": ""0/100"", ""MaxApertureValue"": ""3615/1000"", ""MeteringMode"": 4, ""FocalLength"": ""4900/1000"", ""FlashPixVersion"": ""0100"", ""ColorSpace"": 1, ""SensingMethod"": 2, ""FileSource"": 3, ""SceneType"": 1, ""DigitalZoomRatio"": ""100/100"", ""FocalLengthIn35mmFilm"": 27, ""MEDIAWIKI_EXIF_VERSION"": 1}"
98936559,File:Prosztülosz.GIF,2007-12-03T17:46:56Z,6390,Satak Lord,https://upload.wikimedia.org/wikipedia/commons/e/eb/Proszt%C3%BClosz.GIF,2819,image/gif,"[""Category:Ancient Greek architecture"", ""Category:PD-self"", ""Category:Self-published work""]","{""frameCount"": 1, ""metadata"": [{""name"": ""_MW_GIF_VERSION"", ""value"": 1}]}"
98936492,File:Pszeudodipterosz.GIF,2007-12-09T20:43:21Z,6384,Satak Lord,https://upload.wikimedia.org/wikipedia/commons/9/97/Pszeudodipterosz.GIF,4472,image/gif,"[""Category:Ancient Greek architecture"", ""Category:PD-self"", ""Category:Self-published work""]","{""frameCount"": 1, ""metadata"": [{""name"": ""_MW_GIF_VERSION"", ""value"": 1}]}"
95291148,File:Παλαιόκαστρο Νισύρου.jpg,2020-10-21T16:17:00Z,1684,Dionysisa303,https://upload.wikimedia.org/wikipedia/commons/3/3b/%CE%A0%CE%B1%CE%BB%CE%B1%CE%B9%CF%8C%CE%BA%CE%B1%CF%83%CF%84%CF%81%CE%BF_%CE%9D%CE%B9%CF%83%CF%8D%CF%81%CE%BF%CF%85.jpg,7885829,image/jpeg,"[""Category:Ancient Greek architecture"", ""Category:CC-BY-SA-4.0"", ""Category:Cultural heritage monuments in Greece with known IDs"", ""Category:Greece photographs taken on 2014-06-18"", ""Category:Images from Wiki Loves Monuments 2020"", ""Category:Images from Wiki Loves Monuments 2020 in Greece"", ""Category:Palaiokastro, Nisyros"", ""Category:Self-published work"", ""Category:Uploaded via Campaign:wlm-gr"", ""Category:WLM 2020 in Greece image uploaded on 10-21""]","{""Make"": ""Canon"", ""Model"": ""Canon EOS 7D"", ""XResolution"": ""330/1"", ""YResolution"": ""330/1"", ""ResolutionUnit"": 2, ""Software"": ""Adobe Photoshop Camera Raw 7.0 (Windows)"", ""DateTime"": ""2020:10:16 19:06:09"", ""ExposureTime"": ""1/125"", ""FNumber"": ""11/1"", ""ExposureProgram"": 3, ""ISOSpeedRatings"": 100, ""ExifVersion"": ""0230"", ""DateTimeOriginal"": ""2014:06:18 10:21:16"", ""DateTimeDigitized"": ""2014:06:18 10:21:16"", ""ShutterSpeedValue"": ""6965784/1000000"", ""ApertureValue"": ""6918863/1000000"", ""ExposureBiasValue"": ""-1/3"", ""MaxApertureValue"": ""3625/1000"", ""MeteringMode"": 5, ""Flash"": 16, ""FocalLength"": ""18/1"", ""SubSecTimeOriginal"": ""00"", ""SubSecTimeDigitized"": ""00"", ""FocalPlaneXResolution"": ""5184000/907"", ""FocalPlaneYResolution"": ""3456000/595"", ""FocalPlaneResolutionUnit"": 2, ""SerialNumber"": ""2581223595"", ""Lens"": ""EF-S18-135mm f/3.5-5.6 IS"", ""DateTimeMetadata"": ""2020:10:16 22:06:09"", ""OriginalDocumentID"": ""C2635781344A009971FB666C7E49FA55"", ""iimVersion"": 4, ""MEDIAWIKI_EXIF_VERSION"": 1}"
