id,title,classification,century,culture,image_path
74765,Tetarteron of Alexios III,Coins,14th century,Byzantine,images/Byzantine/Coins/74765.jpg
74762,Coin of Isaac II,Coins,12th-13th century,Byzantine,images/Byzantine/Coins/74762.jpg
50701,Coin of Justin II,Coins,6th century,Byzantine,images/Byzantine/Coins/50701.jpg
74766,Tetarteron of Alexios III,Coins,14th century,Byzantine,images/Byzantine/Coins/74766.jpg
74763,Coin of Isaac II,Coins,12th-13th century,Byzantine,images/Byzantine/Coins/74763.jpg
50702,Coin of Justin II,Coins,6th century,Byzantine,images/Byzantine/Coins/50702.jpg
51385,"Coin of Alexios I, Thessalonike",Coins,11th century,Byzantine,images/Byzantine/Coins/51385.jpg
70024,coin,Coins,,Byzantine,images/Byzantine/Coins/70024.jpg
74544,Coin of John II,Coins,12th century,Byzantine,images/Byzantine/Coins/74544.jpg
74536,Coin of Alexios I,Coins,11th-12th century,Byzantine,images/Byzantine/Coins/74536.jpg
74767,Tetarteron of Alexios III,Coins,14th century,Byzantine,images/Byzantine/Coins/74767.jpg
74764,Coin of Alexios III,Coins,12th-13th century,Byzantine,images/Byzantine/Coins/74764.jpg
50703,Coin of Justin II,Coins,6th century,Byzantine,images/Byzantine/Coins/50703.jpg
74532,Coin of Nikephoros III,Coins,11th century,Byzantine,images/Byzantine/Coins/74532.jpg
71678,coin,Coins,,Byzantine,images/Byzantine/Coins/71678.jpg
74545,Coin of John II,Coins,12th century,Byzantine,images/Byzantine/Coins/74545.jpg
74537,Coin of Alexios I,Coins,11th-12th century,Byzantine,images/Byzantine/Coins/74537.jpg
74768,Tetarteron of Alexios III,Coins,14th century,Byzantine,images/Byzantine/Coins/74768.jpg
50712,Coin of Justin II,Coins,6th century,Byzantine,images/Byzantine/Coins/50712.jpg
74547,Coin of Constantine IX,Coins,11th century,Byzantine,images/Byzantine/Coins/74547.jpg
72248,Coin,Coins,,Byzantine,images/Byzantine/Coins/72248.jpg
74546,Coin of Manuel I,Coins,12th century,Byzantine,images/Byzantine/Coins/74546.jpg
74538,Coin of Alexios I,Coins,11th-12th century,Byzantine,images/Byzantine/Coins/74538.jpg
74567,Coin of Manuel I,Coins,12th century,Byzantine,images/Byzantine/Coins/74567.jpg
74539,Coin of Alexios I,Coins,11th-12th century,Byzantine,images/Byzantine/Coins/74539.jpg
50713,Coin of Justin II,Coins,6th century,Byzantine,images/Byzantine/Coins/50713.jpg
74548,Coin of Constantine X,Coins,11th century,Byzantine,images/Byzantine/Coins/74548.jpg
72249,Coin,Coins,,Byzantine,images/Byzantine/Coins/72249.jpg
74601,Coin of John II,Coins,12th century,Byzantine,images/Byzantine/Coins/74601.jpg
74540,Coin of Alexios I,Coins,11th-12th century,Byzantine,images/Byzantine/Coins/74540.jpg
50714,Coin of Justin II,Coins,6th century,Byzantine,images/Byzantine/Coins/50714.jpg
74549,Coin of Constantine X,Coins,11th century,Byzantine,images/Byzantine/Coins/74549.jpg
72250,Coin,Coins,,Byzantine,images/Byzantine/Coins/72250.jpg
74602,Coin of John II,Coins,12th century,Byzantine,images/Byzantine/Coins/74602.jpg
74541,Coin of Alexios I,Coins,11th-12th century,Byzantine,images/Byzantine/Coins/74541.jpg
50715,Coin of Justin II,Coins,6th century,Byzantine,images/Byzantine/Coins/50715.jpg
74550,Coin of Constantine X,Coins,11th century,Byzantine,images/Byzantine/Coins/74550.jpg
72269,Coin,Coins,,Byzantine,images/Byzantine/Coins/72269.jpg
74603,Coin of John II,Coins,12th century,Byzantine,images/Byzantine/Coins/74603.jpg
74560,Coin of Alexios I,Coins,11th-12th century,Byzantine,images/Byzantine/Coins/74560.jpg
50716,Coin of Justin II,Coins,6th century,Byzantine,images/Byzantine/Coins/50716.jpg
74551,Coin of Constantine X,Coins,11th century,Byzantine,images/Byzantine/Coins/74551.jpg
72270,Coin,Coins,,Byzantine,images/Byzantine/Coins/72270.jpg
74604,Coin of Manuel I,Coins,12th century,Byzantine,images/Byzantine/Coins/74604.jpg
74561,Coin of Alexios I,Coins,11th-12th century,Byzantine,images/Byzantine/Coins/74561.jpg
50717,Coin of Justin II,Coins,6th century,Byzantine,images/Byzantine/Coins/50717.jpg
74552,Coin of Romanos IV,Coins,11th century,Byzantine,images/Byzantine/Coins/74552.jpg
72281,Coin,Coins,,Byzantine,images/Byzantine/Coins/72281.jpg
74605,Coin of Manuel I,Coins,12th century,Byzantine,images/Byzantine/Coins/74605.jpg
74562,Coin of Alexios I,Coins,11th-12th century,Byzantine,images/Byzantine/Coins/74562.jpg
50718,Coin of Justin II,Coins,6th century,Byzantine,images/Byzantine/Coins/50718.jpg
74553,Coin of Michael VII,Coins,11th century,Byzantine,images/Byzantine/Coins/74553.jpg
72282,Coin,Coins,,Byzantine,images/Byzantine/Coins/72282.jpg
74606,Coin of Manuel I,Coins,12th century,Byzantine,images/Byzantine/Coins/74606.jpg
74563,Coin of Alexios I,Coins,11th-12th century,Byzantine,images/Byzantine/Coins/74563.jpg
50854,Coin of Justin II,Coins,6th century,Byzantine,images/Byzantine/Coins/50854.jpg
74554,Coin of Michael VII,Coins,11th century,Byzantine,images/Byzantine/Coins/74554.jpg
72283,Coin,Coins,,Byzantine,images/Byzantine/Coins/72283.jpg
74607,Coin of Manuel I,Coins,12th century,Byzantine,images/Byzantine/Coins/74607.jpg
74564,Coin of Alexios I,Coins,11th-12th century,Byzantine,images/Byzantine/Coins/74564.jpg
50855,Coin of Justin II,Coins,6th century,Byzantine,images/Byzantine/Coins/50855.jpg
74555,Coin of Michael VII,Coins,11th century,Byzantine,images/Byzantine/Coins/74555.jpg
72284,Coin,Coins,,Byzantine,images/Byzantine/Coins/72284.jpg
74608,Coin of Manuel I,Coins,12th century,Byzantine,images/Byzantine/Coins/74608.jpg
74565,Coin of Alexios I,Coins,11th-12th century,Byzantine,images/Byzantine/Coins/74565.jpg
50863,Coin of Justin II,Coins,6th century,Byzantine,images/Byzantine/Coins/50863.jpg
74556,Coin of Michael VII,Coins,11th century,Byzantine,images/Byzantine/Coins/74556.jpg
72285,Coin,Coins,,Byzantine,images/Byzantine/Coins/72285.jpg
74615,Coin of John II,Coins,12th century,Byzantine,images/Byzantine/Coins/74615.jpg
74566,Coin of Alexios I,Coins,11th-12th century,Byzantine,images/Byzantine/Coins/74566.jpg
50864,Coin of Justin II,Coins,6th century,Byzantine,images/Byzantine/Coins/50864.jpg
74557,Coin of Nikephoros III,Coins,11th century,Byzantine,images/Byzantine/Coins/74557.jpg
72286,Coin,Coins,,Byzantine,images/Byzantine/Coins/72286.jpg
74616,Coin of John II,Coins,12th century,Byzantine,images/Byzantine/Coins/74616.jpg
74593,Coin of Alexios I,Coins,11th-12th century,Byzantine,images/Byzantine/Coins/74593.jpg
50865,Coin of Justin II,Coins,6th century,Byzantine,images/Byzantine/Coins/50865.jpg
74558,Coin of Nikephoros III,Coins,11th century,Byzantine,images/Byzantine/Coins/74558.jpg
72336,Coin,Coins,,Byzantine,images/Byzantine/Coins/72336.jpg
74617,Coin of John II,Coins,12th century,Byzantine,images/Byzantine/Coins/74617.jpg
74594,Coin of Alexios I,Coins,11th-12th century,Byzantine,images/Byzantine/Coins/74594.jpg
50866,Coin of Justin II,Coins,6th century,Byzantine,images/Byzantine/Coins/50866.jpg
74559,Coin of Nikephoros III,Coins,11th century,Byzantine,images/Byzantine/Coins/74559.jpg
74568,Anonymous Follis,Coins,,Byzantine,images/Byzantine/Coins/74568.jpg
74618,Coin of John II,Coins,12th century,Byzantine,images/Byzantine/Coins/74618.jpg
74595,Coin of Alexios I,Coins,11th-12th century,Byzantine,images/Byzantine/Coins/74595.jpg
50867,Coin of Justin II,Coins,6th century,Byzantine,images/Byzantine/Coins/50867.jpg
74575,Coin of Constantine VIII,Coins,11th century,Byzantine,images/Byzantine/Coins/74575.jpg
74569,Anonymous Follis,Coins,,Byzantine,images/Byzantine/Coins/74569.jpg
74619,Coin of John II,Coins,12th century,Byzantine,images/Byzantine/Coins/74619.jpg
74596,Coin of Alexios I,Coins,11th-12th century,Byzantine,images/Byzantine/Coins/74596.jpg
50990,Coin of Justin II,Coins,6th century,Byzantine,images/Byzantine/Coins/50990.jpg
74576,Coin of Romanos III,Coins,11th century,Byzantine,images/Byzantine/Coins/74576.jpg
74570,Anonymous Follis,Coins,,Byzantine,images/Byzantine/Coins/74570.jpg
74620,Coin of John II,Coins,12th century,Byzantine,images/Byzantine/Coins/74620.jpg
74597,Coin of Alexios I,Coins,11th-12th century,Byzantine,images/Byzantine/Coins/74597.jpg
50991,Coin of Justin II,Coins,6th century,Byzantine,images/Byzantine/Coins/50991.jpg
74577,Coin of Constantine IX,Coins,11th century,Byzantine,images/Byzantine/Coins/74577.jpg
74571,Anonymous Follis,Coins,,Byzantine,images/Byzantine/Coins/74571.jpg
74621,Coin of Manuel I,Coins,12th century,Byzantine,images/Byzantine/Coins/74621.jpg
74598,Coin of Alexios I,Coins,11th-12th century,Byzantine,images/Byzantine/Coins/74598.jpg
51041,Coin of Justin II,Coins,6th century,Byzantine,images/Byzantine/Coins/51041.jpg
74578,Coin of Constantine IX,Coins,11th century,Byzantine,images/Byzantine/Coins/74578.jpg
74572,Anonymous Follis,Coins,,Byzantine,images/Byzantine/Coins/74572.jpg
74622,Coin of Manuel I,Coins,12th century,Byzantine,images/Byzantine/Coins/74622.jpg
74599,Coin of Alexios I,Coins,11th-12th century,Byzantine,images/Byzantine/Coins/74599.jpg
51042,Coin of Justin II,Coins,6th century,Byzantine,images/Byzantine/Coins/51042.jpg
74579,Coin of Constantine IX,Coins,11th century,Byzantine,images/Byzantine/Coins/74579.jpg
74573,Anonymous Follis,Coins,,Byzantine,images/Byzantine/Coins/74573.jpg
74623,Coin of Manuel I,Coins,12th century,Byzantine,images/Byzantine/Coins/74623.jpg
74600,Coin of Alexios I,Coins,11th-12th century,Byzantine,images/Byzantine/Coins/74600.jpg
51043,Coin of Justin II,Coins,6th century,Byzantine,images/Byzantine/Coins/51043.jpg
74580,Coin of Constantine IX,Coins,11th century,Byzantine,images/Byzantine/Coins/74580.jpg
74574,Anonymous Follis,Coins,,Byzantine,images/Byzantine/Coins/74574.jpg
74624,Coin of Manuel I,Coins,12th century,Byzantine,images/Byzantine/Coins/74624.jpg
74610,Coin of Alexios I,Coins,11th-12th century,Byzantine,images/Byzantine/Coins/74610.jpg
51044,Coin of Justin II,Coins,6th century,Byzantine,images/Byzantine/Coins/51044.jpg
74581,"Histamenon of Isaac I, Constantinople",Coins,11th century,Byzantine,images/Byzantine/Coins/74581.jpg
74626,Anonymous Follis,Coins,,Byzantine,images/Byzantine/Coins/74626.jpg
74625,Coin of Manuel I,Coins,12th century,Byzantine,images/Byzantine/Coins/74625.jpg
74611,Coin of Alexios I,Coins,11th-12th century,Byzantine,images/Byzantine/Coins/74611.jpg
51168,Coin of Justin II and Sophia,Coins,6th century,Byzantine,images/Byzantine/Coins/51168.jpg
74582,Coin of Isaac I,Coins,11th century,Byzantine,images/Byzantine/Coins/74582.jpg
74627,Anonymous Follis,Coins,,Byzantine,images/Byzantine/Coins/74627.jpg
74630,Coin of Manuel I,Coins,12th century,Byzantine,images/Byzantine/Coins/74630.jpg
74612,Coin of Alexios I,Coins,11th-12th century,Byzantine,images/Byzantine/Coins/74612.jpg
51169,Coin of Justin II,Coins,6th century,Byzantine,images/Byzantine/Coins/51169.jpg
74583,Coin of Constantine X,Coins,11th century,Byzantine,images/Byzantine/Coins/74583.jpg
74628,Anonymous Follis,Coins,,Byzantine,images/Byzantine/Coins/74628.jpg
74631,Coin of Manuel I,Coins,12th century,Byzantine,images/Byzantine/Coins/74631.jpg
74613,Coin of Alexios I,Coins,11th-12th century,Byzantine,images/Byzantine/Coins/74613.jpg
51170,Coin of Justin II,Coins,6th century,Byzantine,images/Byzantine/Coins/51170.jpg
6532,Saint Andrew and Scenes from his Life,Paintings,,Byzantine,images/Byzantine/Paintings/6532.jpg
193458,Two Bishop Saints,Paintings,14th-15th century,Byzantine,images/Byzantine/Paintings/193458.jpg
219265,Saint John,Paintings,18th century,Byzantine,images/Byzantine/Paintings/219265.jpg
219682,Madonna and Child,Paintings,16th century,Byzantine,images/Byzantine/Paintings/219682.jpg
221462,Madonna and Child,Paintings,18th century,Byzantine,images/Byzantine/Paintings/221462.jpg
221484,Madonna and Child,Paintings,15th-16th century,Byzantine,images/Byzantine/Paintings/221484.jpg
228237,Two Shutters with Four Painted Panels,Paintings,,Byzantine,images/Byzantine/Paintings/228237.jpg
228330,Saint Catherine,Paintings,15th-16th century,Byzantine,images/Byzantine/Paintings/228330.jpg
228662,Madonna and Child,Paintings,,Byzantine,images/Byzantine/Paintings/228662.jpg
228738,Figure of Saint with book,Paintings,,Byzantine,images/Byzantine/Paintings/228738.jpg
228844,Raising of Lazarus,Paintings,17th-18th century,Byzantine,images/Byzantine/Paintings/228844.jpg
229167,Lower part of seated and two standing figures,Paintings,,Byzantine,images/Byzantine/Paintings/229167.jpg
229212,Madonna and Child with Saint John the Baptist and Saint Roch,Paintings,16th century,Byzantine,images/Byzantine/Paintings/229212.jpg
229261,Madonna and Child and Saint John,Paintings,18th century,Byzantine,images/Byzantine/Paintings/229261.jpg
230886,Saint Andrew and eight scenes from his life,Paintings,18th century,Byzantine,images/Byzantine/Paintings/230886.jpg
231677,Saint Mark,Paintings,13th-15th century,Byzantine,images/Byzantine/Paintings/231677.jpg
231703,Madonna and Child with representations of twelve feasts,Paintings,16th century,Byzantine,images/Byzantine/Paintings/231703.jpg
231829,Madonna and Child in Blue Robes,Paintings,,Byzantine,images/Byzantine/Paintings/231829.jpg
231996,Descent into Hell,Paintings,17th-18th century,Byzantine,images/Byzantine/Paintings/231996.jpg
232009,Saint Andrew and Scenes from his Life,Paintings,,Byzantine,images/Byzantine/Paintings/232009.jpg
232010,Presentation of the Virgin and Saints,Paintings,18th century,Byzantine,images/Byzantine/Paintings/232010.jpg
232011,Presentation of the Virgin in the Temple,Paintings,18th-19th century,Byzantine,images/Byzantine/Paintings/232011.jpg
232099,Christ in the Garden of Gethsemane,Paintings,16th-17th century,Byzantine,images/Byzantine/Paintings/232099.jpg
197403,Nativity,Paintings,17th century,Byzantine,images/Byzantine/Paintings/197403.jpg
148448,Fragments of Repousse Object,Sculpture,6th-10th century,Byzantine,images/Byzantine/Sculpture/148448.jpg
304359,Monkey Holding a Long Spike in its Forepaws,Sculpture,6th-7th century,Byzantine,images/Byzantine/Sculpture/304359.jpg
226115,St. Michael,Sculpture,20th century,Byzantine,images/Byzantine/Sculpture/226115.jpg
226116,Front Book Cover,Sculpture,20th century,Byzantine,images/Byzantine/Sculpture/226116.jpg
226117,Leaf of Diptych: Manlius Boethius,Sculpture,20th century,Byzantine,images/Byzantine/Sculpture/226117.jpg
226118,Leaf of Diptych with Ornament,Sculpture,20th century,Byzantine,images/Byzantine/Sculpture/226118.jpg
226119,Panel from Book Cover: Christ Blessing,Sculpture,20th century,Byzantine,images/Byzantine/Sculpture/226119.jpg
226120,Panel of casket:  Passion of Christ,Sculpture,20th century,Byzantine,images/Byzantine/Sculpture/226120.jpg
226121,Panel with Busts of Saints,Sculpture,20th century,Byzantine,images/Byzantine/Sculpture/226121.jpg
226122,Leaf of Diptych: Rufinus Gennadius Probus Orestes,Sculpture,20th century,Byzantine,images/Byzantine/Sculpture/226122.jpg
226128,Bellerophon and Chimaera,Sculpture,20th century,Byzantine,images/Byzantine/Sculpture/226128.jpg
226130,"Diptych of Consul Probus Magnus, 518 AD",Sculpture,20th century,Byzantine,images/Byzantine/Sculpture/226130.jpg
226133,Nativity and Presentation,Sculpture,20th century,Byzantine,images/Byzantine/Sculpture/226133.jpg
226141,Panel from Chair of Maximian: Meeting of Jacob and Joseph.,Sculpture,20th century,Byzantine,images/Byzantine/Sculpture/226141.jpg
226144,Leaf of Consular Diptych,Sculpture,20th century,Byzantine,images/Byzantine/Sculpture/226144.jpg
226145,Leaf of Consular Diptych: Basilius,Sculpture,20th century,Byzantine,images/Byzantine/Sculpture/226145.jpg
226146,Ascension of Christ,Sculpture,20th century,Byzantine,images/Byzantine/Sculpture/226146.jpg
226147,Panel from Chair of Maximian:  Joseph sold by Brethren,Sculpture,20th century,Byzantine,images/Byzantine/Sculpture/226147.jpg
226149,Book cover with inset of Consul Flavius Asturias,Sculpture,20th century,Byzantine,images/Byzantine/Sculpture/226149.jpg
226160,Diptych of Consul Rufius Probianus,Sculpture,20th century,Byzantine,images/Byzantine/Sculpture/226160.jpg
226161,"Leaf of Diptych: Consul Theodorus Valentianus, 505 AD",Sculpture,20th century,Byzantine,images/Byzantine/Sculpture/226161.jpg
226162,Leaf of Consular Diptych: Manlius Boethius,Sculpture,20th century,Byzantine,images/Byzantine/Sculpture/226162.jpg
226163,Leaf of Diptych: Monogram of Areobindus.,Sculpture,20th century,Byzantine,images/Byzantine/Sculpture/226163.jpg
226181,Psalter of Melisende,Sculpture,20th century,Byzantine,images/Byzantine/Sculpture/226181.jpg
226182,Leaf of Diptych: Rufinus Gennadius Probus Orestes,Sculpture,20th century,Byzantine,images/Byzantine/Sculpture/226182.jpg
226184,Pentecost,Sculpture,20th century,Byzantine,images/Byzantine/Sculpture/226184.jpg
226209,Crucifix of Princess Gunhilde,Sculpture,20th century,Byzantine,images/Byzantine/Sculpture/226209.jpg
226605,Patrician Lady and Philosopher,Sculpture,20th century,Byzantine,images/Byzantine/Sculpture/226605.jpg
226617,Replica of Leaf of Diptych: Consul Flavius Anastasius (6th century CE),Sculpture,20th century,Byzantine,images/Byzantine/Sculpture/226617.jpg
226648,Leaf of Diptych: Consul Areobindus,Sculpture,20th century,Byzantine,images/Byzantine/Sculpture/226648.jpg
288215,Portrait Head of a Woman,Sculpture,4th century CE,Byzantine,images/Byzantine/Sculpture/288215.jpg
289066,Head of a Man,Sculpture,5th-6th century,Byzantine,images/Byzantine/Sculpture/289066.jpg
289345,Peacock,Sculpture,,Byzantine,images/Byzantine/Sculpture/289345.jpg
292327,Fragment of a Christian Monument,Sculpture,9th-12th century,Byzantine,images/Byzantine/Sculpture/292327.jpg
227860,Virgin and Child Enthroned,Sculpture,12th-13th century,Byzantine,images/Byzantine/Sculpture/227860.jpg
304637,Eagle,Sculpture,3rd-5th century CE,Byzantine,images/Byzantine/Sculpture/304637.jpg
31322,Seal of John metropolitan of Smyrna (XI c.),Seals,,Byzantine,images/Byzantine/Seals/31322.jpg
32491,"Seal of John Komnenos, sebastos and doux of Skopia (XI/XII c.)",Seals,10th-11th century,Byzantine,images/Byzantine/Seals/32491.jpg
32705,Seal of John archibishop of Bulgaria (XII c.),Seals,12th century,Byzantine,images/Byzantine/Seals/32705.jpg
32897,Seal of Leo bishop of Demetrias (X c.),Seals,10th century,Byzantine,images/Byzantine/Seals/32897.jpg
33636,"Seal of N., proedros and praitor of the Thrakesioi (XI c.)",Seals,11th century,Byzantine,images/Byzantine/Seals/33636.jpg
72504,"Seal of the imperial kommerkia of Bithynia (Phrygia), Salutaria (PHrygia), Pakatianae and Lydia (733/734)",Seals,8th century,Byzantine,images/Byzantine/Seals/72504.jpg
72508,Seal of Pardos hypatos and kommerkiaros of Thessalonica (IX/X c.),Seals,9th-10th century,Byzantine,images/Byzantine/Seals/72508.jpg
72911,"Seal of John Kommenos, doux of Dyrrachion, son of the Sebastokrator (XI/XII c.; shortly after 1091/2)",Seals,11th-12th century,Byzantine,images/Byzantine/Seals/72911.jpg
73042,"Seal of Andrew imperial kommerkiarios of Thessalonica (VIII - IX c., perhaps 795/6, 810/1, 825/6)",Seals,8th-9th century,Byzantine,images/Byzantine/Seals/73042.jpg
31346,Seal of Nikephoros Spanopoulos protonotarios of the Armeniakoi (XI c.),Seals,,Byzantine,images/Byzantine/Seals/31346.jpg
72671,"Seal of Kosmas, Bishop of Proussa",Seals,11th century,Byzantine,images/Byzantine/Seals/72671.jpg
72505,Seal of the imperial kommerkia of Mesembria (731/2),Seals,8th century,Byzantine,images/Byzantine/Seals/72505.jpg
31364,"Seal of Constantine ...polites, patrikios, and katepano of Dristra (XI c.)",Seals,,Byzantine,images/Byzantine/Seals/31364.jpg
73031,Seal of Sergios chartoularios and kommerkiarios of Presthlavitza (XI c.),Seals,11th century,Byzantine,images/Byzantine/Seals/73031.jpg
73136,Seal of the Imperial Kommerkia of the Strategia of the Thrakesioi,Seals,8th century,Byzantine,images/Byzantine/Seals/73136.jpg
31369,Seal of John (bishop) of Argos (XI/XII c.),Seals,,Byzantine,images/Byzantine/Seals/31369.jpg
53687,Seal of N. imperial protospatharios and strategos of Chasanara (?) (X c.),Seals,10th century,Byzantine,images/Byzantine/Seals/53687.jpg
73224,Seal of (John) protoproedros (of the protosynkelloi and metropolitan) of Side (XI c.),Seals,11th century,Byzantine,images/Byzantine/Seals/73224.jpg
31393,Seal of Staurakios (?) imperial spatharios and protonotarios of Paphlagonia (IX c.),Seals,,Byzantine,images/Byzantine/Seals/31393.jpg
73089,Seal of Klement imperial spatharios and kommerkiarios of Thessalonica (X c.),Seals,10th century,Byzantine,images/Byzantine/Seals/73089.jpg
73329,Seal of Nikephoros patrikios and strategos of the Kibyrraiotai (XIth c.),Seals,11th century,Byzantine,images/Byzantine/Seals/73329.jpg
31467,"Seal of David Geiton (?), imperial spatharokandidatos and episkeptites of Tephrike (XI c.)",Seals,,Byzantine,images/Byzantine/Seals/31467.jpg
73127,Seal of Epiphanios archon of Demetrias (X c.),Seals,10th century,Byzantine,images/Byzantine/Seals/73127.jpg
31498,"Seal of Manuel ""shepherd"" (=bishop) of Sebastoupolis (XII c.)",Seals,,Byzantine,images/Byzantine/Seals/31498.jpg
73138,Seal of Constantine imperial strator and kommerkiarios of the West (X c.),Seals,10th century,Byzantine,images/Byzantine/Seals/73138.jpg
31574,Seal of Theodore or Theodosios bishop of Trebizond (X c.),Seals,,Byzantine,images/Byzantine/Seals/31574.jpg
73235,Seal of Epiphanios imperial protospatharios and strategos of the Kiberraiotai (Xth c.),Seals,10th century,Byzantine,images/Byzantine/Seals/73235.jpg
31714,Seal of Paul (?) imperial spatharios and strategos of the Thrakesioi (IX c.),Seals,,Byzantine,images/Byzantine/Seals/31714.jpg
31740,"Seal of N., komes tes kortes of the Kiberaiotai (X c.)",Seals,,Byzantine,images/Byzantine/Seals/31740.jpg
31835,"Seal of N. protospatharios epi tou Chrysotriklinou, chartoularios of the stratiotikon logothesion and of the Boukellarioi (XI c.)",Seals,,Byzantine,images/Byzantine/Seals/31835.jpg
31843,Seal of Theophilos metropolitan of Ankyra (late XII c.),Seals,,Byzantine,images/Byzantine/Seals/31843.jpg
31844,Seal of N. Strategos of the Anatolikoi (?) (VIII/IX c.),Seals,,Byzantine,images/Byzantine/Seals/31844.jpg
31867,Seal of Leo bishop of Kerasous (IX c.),Seals,,Byzantine,images/Byzantine/Seals/31867.jpg
31918,Seal of Andrew hypatos and protonotarios of the Armeniakoi (IX c.),Seals,,Byzantine,images/Byzantine/Seals/31918.jpg
32005,Seal of Niketas of Medikion (X c.),Seals,,Byzantine,images/Byzantine/Seals/32005.jpg
32011,Seal of John (?) Xeros (?) [or Xenos?] protospatharios (?) and judge of Hellas (X/XI c.),Seals,,Byzantine,images/Byzantine/Seals/32011.jpg
32036,Seal of Meligalas (?) spatharios (?) and paraphylax of Abydos (IX c.),Seals,,Byzantine,images/Byzantine/Seals/32036.jpg
32060,Seal of Theophylaktos bishop of Tralleis (XI c.),Seals,,Byzantine,images/Byzantine/Seals/32060.jpg
32113,Seal of Leo imperial protospatharios and strategos of Chaldia (X c.),Seals,,Byzantine,images/Byzantine/Seals/32113.jpg
32147,Seal of Constantine protospatharios and strategos of Cappadocia (X c.),Seals,,Byzantine,images/Byzantine/Seals/32147.jpg
32196,"Seal of Theodotos patrikios, imperial protospatharios and strategos of the Armeniakoi (X c.)",Seals,,Byzantine,images/Byzantine/Seals/32196.jpg
32200,Seal of the imperial kommerkia (of Thrace?) (801/2),Seals,,Byzantine,images/Byzantine/Seals/32200.jpg
32221,"Seal of N., kommerkiarios of the abydos of Thessalonica (VIII/IX c.)",Seals,,Byzantine,images/Byzantine/Seals/32221.jpg
32228,Seal of John hypatos (or spatharios) and protonotarios of the Anatolikoi (?) (IX c.),Seals,,Byzantine,images/Byzantine/Seals/32228.jpg
32265,Seal of Symeon bishop of Ioannitza (XI c.),Seals,,Byzantine,images/Byzantine/Seals/32265.jpg
32267,"Seal of Euphemianos patrikios, imperial protospatharios and strategos of Hellas (VIII/IX c.)",Seals,,Byzantine,images/Byzantine/Seals/32267.jpg
32269,Seal of N. protospatharios and protonotarios of the Armeniakoi (XI c.),Seals,,Byzantine,images/Byzantine/Seals/32269.jpg
32270,Seal of Michael imperial strator and protonotarios of the metaton of Phrygia (IX c.),Seals,,Byzantine,images/Byzantine/Seals/32270.jpg
32281,Seal of Theodore bishop of Methone (X/XI c.),Seals,,Byzantine,images/Byzantine/Seals/32281.jpg
32289,Seal of Antonios archbishop of Nikopolis (IX/X c.),Seals,,Byzantine,images/Byzantine/Seals/32289.jpg
32296,Seal of Katakalon Gabras (or Glabas or Gribas?) imperial protospatharios and strategos of Cephalonia (XI c.),Seals,,Byzantine,images/Byzantine/Seals/32296.jpg
32300,Seal of Moses metropolitan of Neokaisareia (XI c.),Seals,,Byzantine,images/Byzantine/Seals/32300.jpg
32306,Seal of Constantine archbishop of Parion (XI c.),Seals,,Byzantine,images/Byzantine/Seals/32306.jpg
32325,Seal of the monastery of Docheiariou (XI/XII c.),Seals,,Byzantine,images/Byzantine/Seals/32325.jpg
32326,Seal of Anastasio imperial protospatharios epi tou Chrysotriklinou and strategos of An(chialos) (?) (X/XI c.),Seals,,Byzantine,images/Byzantine/Seals/32326.jpg
32327,Seal of Theognostos (or Theoktistos) imperial protospatharios and strategos of the Armeniakoi (X c.),Seals,,Byzantine,images/Byzantine/Seals/32327.jpg
